id,index,ret_subj,ploss_subj,avgloss_subj,exploss_subj,glscore_calc,experience_stockmarket_subj,experience_swiss_stockmarket_subj,knowledge_stockmarket_subj,knowledge_swiss_stockmarket_subj,num_investments_subj,mroi_obj,var_obj,avgloss_obj,ploss_obj,maxloss_obj,evloss_x_ploss_obj,quest,perceived
103,ABBN,2,80,30,100,12,2,1,3,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,6
104,ABBN,4,8,17,16,6,1,1,2,1,1,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,5
105,ABBN,6,20,20,30,8,1,1,1,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,6
106,ABBN,7,30,20,18,12,4,3,4,3,15,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,6
107,ABBN,7,20,20,7,11,1,1,2,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,6
108,ABBN,7,35,35,30,11,2,1,2,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,6
109,ABBN,6,26,50,20,10,4,4,5,4,3,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,7
110,ABBN,1,100,50,50,10,2,1,2,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,7
111,ABBN,2,20,55,2,11,1,1,2,1,5,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,5
112,ABBN,6,20,30,15,12,1,1,2,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,5
113,ABBN,1,30,22,9,11,4,3,3,3,100,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,6
114,ABBN,7,30,22,10,11,2,1,2,1,4,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,5
116,ABBN,7,80,25,10,12,1,1,1,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,6
119,ABBN,6,15,15,5,12,3,1,3,1,1,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,6
120,ABBN,6,20,20,10,11,3,1,3,1,5,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,6
123,ABBN,2,4,2,20,10,1,1,1,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,5
127,ABBN,5,30,22,4,12,3,1,4,1,36,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,5
129,ABBN,2,0,25,30,7,3,2,3,1,2,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,6
130,ABBN,6,30,20,20,12,1,1,3,2,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,7
131,ABBN,6,10,10,10,6,2,1,3,1,1,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,5
133,ABBN,7,7,6,0,8,2,1,2,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,4
134,ABBN,7,5,2,10,11,3,1,3,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,7
135,ABBN,6,35,20,20,9,1,1,1,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,5
136,ABBN,3,63,33,40,11,1,1,1,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,6
138,ABBN,7,27,0,0,12,4,1,4,1,5,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,7
139,ABBN,2,35,75,20,10,4,2,4,2,50,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,5
140,ABBN,6,25,15,20,8,1,1,2,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,5
141,ABBN,6,80,25,20,10,2,1,2,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,5
143,ABBN,5,25,9,10,10,4,1,4,3,10,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,7
144,ABBN,6,0,10,0,10,1,1,1,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,6
145,ABBN,5,50,40,25,10,1,1,2,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,5
146,ABBN,6,30,20,5,11,4,4,5,4,20,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,5
148,ABBN,6,15,15,15,10,4,2,4,2,4,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,7
149,ABBN,6,30,15,20,12,3,1,3,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,6
150,ABBN,5,25,20,20,10,4,2,4,2,30,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,6
151,ABBN,6,4,0,0,12,2,1,2,1,2,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,6
152,ABBN,6,2,20,12,10,2,1,2,1,1,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,6
153,ABBN,6,37,30,0,12,3,1,3,2,30,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,6
154,ABBN,6,15,30,10,11,3,1,3,1,4,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,7
156,ABBN,5,30,22,0,11,1,1,1,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,6
157,ABBN,6,20,35,90,12,2,1,2,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,6
158,ABBN,1,66,50,50,12,2,1,2,1,1,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,6
