id;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;;code;name_EN;name_GER
66;0;1;0;0;0;0;0;0;0;0;0;0;;B1;Uncertainty, unpredictability;Unsicherheit / Vorhersagbarkeit
71;0;0;0;0;1;0;0;0;0;0;0;0;;B2;Variance, fluctuation;Varianz / Schwankung
74;0;1;0;0;0;0;0;0;0;0;0;0;;B3;Loss: Probability;Verlust: Wahrscheinlichkeit
76;0;0;0;1;0;0;0;1;0;0;0;0;;B4;Loss: Magnitude;Verlust: Ausmaß
81;1;1;0;0;0;0;0;0;0;0;0;0;;B5;Loss: Probability+Magnitude;Verlust: Wahrscheinlichkeit & Ausmaß
87;0;0;0;0;0;0;0;0;0;0;0;1;;B6;Loss: other;Verlust: Nicht näher definiert
100;0;1;0;0;0;0;0;0;0;0;0;0;;B7;Gain: Probability;Gewinn: Wahrscheinlichkeit
103;0;1;0;0;1;0;0;0;1;0;0;0;;B8;Gain: Magnitude;Gewinn: Ausmaß
107;0;0;0;0;1;0;0;1;0;0;0;0;;B9;Gain: Probability+Magnitude;Gewinn: Wahrscheinlichkeit & Ausmaß
111;0;0;0;0;0;1;0;0;0;0;0;0;;B10;Gain: other;Gewinn: Nicht näher definiert
119;0;1;0;0;1;0;0;0;0;0;0;0;;B11;Danger;Gefahr (hazard)
127;0;0;0;0;0;0;0;0;0;0;0;1;;B12;Other;Nicht passend
133;0;0;0;0;0;1;0;0;0;0;0;0;;;;
141;0;0;0;0;0;1;0;0;0;0;0;0;;;;
146;0;1;0;0;0;0;0;0;0;0;0;0;;;;
148;0;0;0;0;0;1;0;1;0;0;0;0;;;;
152;1;0;0;0;0;0;0;0;0;0;0;0;;;;
157;0;0;0;0;1;0;0;0;0;0;0;0;;;;
160;0;1;0;1;0;0;0;0;0;0;0;0;;;;
166;0;0;0;0;1;0;0;0;0;0;0;0;;;;
173;1;0;0;0;0;0;0;0;0;0;0;0;;;;
181;1;0;0;0;0;0;0;0;0;0;0;0;;;;
183;0;1;1;0;0;0;0;0;0;0;0;0;;;;
185;1;0;1;0;0;0;0;0;0;0;0;0;;;;
188;1;0;0;0;0;1;0;0;0;0;0;0;;;;
59;0;0;0;0;0;0;0;0;0;0;0;1;;;;
60;1;0;0;0;0;0;0;0;0;0;0;0;;;;
64;0;0;0;1;0;0;0;0;0;0;0;0;;;;
65;1;0;1;0;0;0;0;0;0;0;0;0;;;;
67;1;0;0;0;1;0;0;0;0;0;0;0;;;;
68;0;0;0;0;1;0;0;0;0;0;0;0;;;;
70;1;0;1;0;0;0;0;0;0;0;0;0;;;;
72;0;0;1;0;0;0;0;0;0;0;0;0;;;;
75;0;0;0;0;0;0;0;0;0;0;1;0;;;;
77;0;0;0;0;1;0;0;0;0;0;0;0;;;;
78;0;0;0;0;1;0;0;0;0;0;0;0;;;;
79;0;0;0;0;1;0;0;0;0;0;0;0;;;;
80;0;0;0;0;0;0;0;0;0;0;0;1;;;;
82;0;0;0;0;0;0;0;0;0;0;0;1;;;;
83;0;0;0;0;0;0;0;0;0;0;0;1;;;;
84;0;0;0;0;0;0;0;0;0;0;0;1;;;;
86;0;0;0;0;0;0;1;0;0;0;0;0;;;;
89;1;0;0;1;0;0;0;1;0;0;0;0;;;;
90;0;0;0;1;0;0;0;1;0;0;0;0;;;;
91;0;0;0;0;1;0;1;0;0;0;0;0;;;;
92;0;0;0;0;1;0;0;0;0;0;0;0;;;;
93;0;0;0;0;1;0;0;0;0;0;0;0;;;;
95;0;0;1;0;0;0;0;0;0;0;0;0;;;;
96;0;1;0;0;0;0;0;0;0;0;0;0;;;;
97;0;0;0;0;0;1;0;1;0;0;0;0;;;;
98;0;0;0;0;0;0;0;1;0;0;0;0;;;;
99;0;0;1;0;0;0;0;0;1;0;0;0;;;;
101;0;0;1;0;0;0;0;0;1;0;0;0;;;;
104;0;0;0;0;1;0;0;0;0;0;0;0;;;;
