"index";"year";"mean_roi_peryear"
"ASX";2009;0.167757917505316
"ASX";2010;-0.0241552399823614
"ASX";2011;-0.0390437086655684
"ASX";2012;0.16598217703337
"ASX";2013;0.0658469560092877
"ASX";2014;0.0159598094623767
"ASX";2015;-0.0219447429876186
"BSE";2009;0.389115023524614
"BSE";2010;-0.0161971707958083
"BSE";2011;-0.000356584149553531
"BSE";2012;0.121231115711882
"BSE";2013;0.250085721590147
"BSE";2014;0.126854923319334
"BSE";2015;-0.0323011958822899
"DAXK";2009;2.02610575827131
"DAXK";2010;1.5358465329123
"DAXK";2011;1.08141615921763
"DAXK";2012;0.092238485990335
"DAXK";2013;-0.173271664468296
"DAXK";2014;0.12219899494581
"DAXK";2015;-0.0920892939452941
"DJAI";2009;0.214080858632877
"DJAI";2010;0.123318558012883
"DJAI";2011;0.0870989504689857
"DJAI";2012;0.157797277976753
"DJAI";2013;0.118999070384874
"DJAI";2014;0.0497074687608825
"DJAI";2015;0.0214125925245734
"EuroStoxx50";2009;0.119380985998019
"EuroStoxx50";2010;-0.0600220484375939
"EuroStoxx50";2011;-0.0566035722247633
"EuroStoxx50";2012;0.161104399241346
"EuroStoxx50";2013;0.129458533787465
"EuroStoxx50";2014;0.0960473813041652
"EuroStoxx50";2015;-0.124254065555315
"FSSTI";2009;0.345303392300165
"FSSTI";2010;0.0066109663518505
"FSSTI";2011;0.00671889488170504
"FSSTI";2012;0.0866816577465281
"FSSTI";2013;0.00621481243770108
"FSSTI";2014;-0.00894940995158786
"FSSTI";2015;-0.116191108750108
"FTSE100";2009;0.209888361761406
"FTSE100";2010;0.0416731201919326
"FTSE100";2011;0.0134683582146691
"FTSE100";2012;0.1287105121692
"FTSE100";2013;0.0336424423424556
"FTSE100";2014;-0.0134795273872018
"FTSE100";2015;-0.0124580881687729
"HSI";2009;0.229681701133814
"HSI";2010;0.00291222294695549
"HSI";2011;-0.0291001047344866
"HSI";2012;0.106502144780675
"HSI";2013;0.0296444960960475
"HSI";2014;0.0486160132330774
"HSI";2015;-0.108634523783431
"IDX";2009;0.595342179887052
"IDX";2010;0.237017098840054
"IDX";2011;0.105197127525092
"IDX";2012;0.123586207107846
"IDX";2013;0.0732867733693175
"IDX";2014;0.00289255160545285
"IDX";2015;0.0355218556833794
"ISE100";2009;0.668661494806931
"ISE100";2010;0.0380580109783317
"ISE100";2011;0.0652737940410421
"ISE100";2012;0.245718324841024
"ISE100";2013;-0.0263447418891745
"ISE100";2014;0.0847058809181919
"ISE100";2015;-0.0387137222070674
"KLSE";2010;0.0603227702957732
"KLSE";2011;0.0667835192847783
"KLSE";2012;0.0877708389938012
"KLSE";2013;0.0558830210329768
"KLSE";2014;-0.0611604003868143
"KLSE";2015;-0.0362004691931689
"MERV";2009;0.641534979443709
"MERV";2010;0.249544787894961
"MERV";2011;-0.183585031462297
"MERV";2012;0.61072106819111
"MERV";2013;1.05092031379029
"MERV";2014;0.421520258376413
"MERV";2015;0.311972431734871
"Nikkei225";2009;0.0878274311205652
"Nikkei225";2010;-0.0561885883486816
"Nikkei225";2011;-0.0264854267727157
"Nikkei225";2012;0.494011982742186
"Nikkei225";2013;0.149389317243066
"Nikkei225";2014;0.247375718947682
"Nikkei225";2015;-0.115989082491696
"OBX";2009;0.361925510967627
"OBX";2010;0.0961636696123331
"OBX";2011;0.0618454603592393
"OBX";2012;0.163300845582728
"OBX";2013;0.174145032114461
"OBX";2014;0.0473213562401242
"OBX";2015;-0.0246834586999519
"OMXS30";2009;0.304907775832839
"OMXS30";2010;0.0126110293686922
"OMXS30";2011;0.0199071030635306
"OMXS30";2012;0.161055312792388
"OMXS30";2013;0.126345475643994
"OMXS30";2014;0.137157877423154
"OMXS30";2015;-0.103616839328858
"RTSI";2009;0.644907991921672
"RTSI";2010;0.168889532267068
"RTSI";2011;-0.136250094937778
"RTSI";2012;-0.0332883727262722
"RTSI";2013;-0.161506358690926
"RTSI";2014;-0.2520689041092
"RTSI";2015;0.0633273450321089
"SMI20";2009;0.157099642463715
"SMI20";2010;-0.070157553077302
"SMI20";2011;0.0602291616930509
"SMI20";2012;0.243795064650223
"SMI20";2013;0.093203793905877
"SMI20";2014;0.0436531221571609
"SMI20";2015;-0.100554082792337
"SSEC";2009;0.0582391788337822
"SSEC";2010;-0.041444667901274
"SSEC";2011;NA
"TSX";2009;0.201281491263312
"TSX";2010;0.0769251096450295
"TSX";2011;-0.0622209434721745
"TSX";2012;0.0543659611302258
"TSX";2013;0.149438767518575
"TSX";2014;-0.0189916552037961
"TSX";2015;-0.0142794797459782
"WIG20";2009;0.302941835349026
"WIG20";2010;0.0391029239221534
"WIG20";2011;-0.0943297672328478
"WIG20";2012;0.0611638228100566
"WIG20";2013;0.000436295011245955
"WIG20";2014;-0.0752535267102791
"WIG20";2015;-0.183668931285525
"jse";2009;0.281659460875079
"jse";2010;0.281659460875079
"jse";2011;0.281659460875079
"jse";2012;0.281659460875079
"jse";2013;0.281659460875079
"jse";2014;0.281659460875079
"jse";2015;0.281659460875079
