"firm";"year";"date";"ROIyearly"
"RichemontN";2006;2006-06-01;0.269169960474308
"RichemontN";2007;2007-06-01;0.0401744004982871
"RichemontN";2008;2008-06-01;-0.37185628742515
"RichemontN";2009;2009-06-01;0.698760724499523
"RichemontN";2010;2010-06-01;0.598513011152416
"RichemontN";2011;2011-06-01;-0.11070780399274
"RichemontN";2012;2012-06-01;0.530612244897959
"RichemontN";2013;2013-06-01;0.173333333333333
"RichemontN";2014;2014-06-01;0.0051136363636364
"RichemontN";2015;2015-06-01;-0.210288298473714
"RocheHldgDR";2003;2003-06-01;0.267676767676768
"RocheHldgDR";2004;2004-06-01;0.0438247011952191
"RocheHldgDR";2005;2005-06-01;0.509146341463415
"RocheHldgDR";2006;2006-06-01;0.109090909090909
"RocheHldgDR";2007;2007-06-01;-0.1183970856102
"RocheHldgDR";2008;2008-06-01;-0.138429752066116
"RocheHldgDR";2009;2009-06-01;0.0845323741007194
"RocheHldgDR";2010;2010-06-01;-0.22686230248307
"RocheHldgDR";2011;2011-06-01;0.174545454545455
"RocheHldgDR";2012;2012-06-01;0.174613003095975
"RocheHldgDR";2013;2013-06-01;0.312071692145493
"RocheHldgDR";2014;2014-06-01;0.094817195660908
"RocheHldgDR";2015;2015-06-01;0.0168807339449542
"SGSReg";2003;2003-06-01;0.794307771008696
"SGSReg";2004;2004-06-01;0.0573179897882487
"SGSReg";2005;2005-06-01;0.388746185147508
"SGSReg";2006;2006-06-01;0.254452390326982
"SGSReg";2007;2007-06-01;-0.0153284671532847
"SGSReg";2008;2008-06-01;-0.140845070422535
"SGSReg";2009;2009-06-01;0.183779119930975
"SGSReg";2010;2010-06-01;0.176470588235294
"SGSReg";2011;2011-06-01;0.0101845957988542
"SGSReg";2012;2012-06-01;0.322621298046629
"SGSReg";2013;2013-06-01;-0.0242972844211529
"SGSReg";2014;2014-06-01;-0.01123046875
"SGSReg";2015;2015-06-01;-0.0735802469135802
"SwissLifeHldgN";2003;2003-06-01;0.974137931034483
"SwissLifeHldgN";2004;2004-06-01;-0.159849929269943
"SwissLifeHldgN";2005;2005-06-01;0.459977367031309
"SwissLifeHldgN";2006;2006-06-01;0.312680859859446
"SwissLifeHldgN";2007;2007-06-01;-0.0520410975081683
"SwissLifeHldgN";2008;2008-06-01;-0.723433412233711
"SwissLifeHldgN";2009;2009-06-01;0.920870870870871
"SwissLifeHldgN";2010;2010-06-01;0.0610607397897779
"SwissLifeHldgN";2011;2011-06-01;-0.327165685449958
"SwissLifeHldgN";2012;2012-06-01;0.406818181818182
"SwissLifeHldgN";2013;2013-06-01;0.476575121163167
"SwissLifeHldgN";2014;2014-06-01;0.289387308533917
"SwissLifeHldgN";2015;2015-06-01;0.141705557912601
"SwissReN";2003;2003-06-01;-0.128865979381443
"SwissReN";2004;2004-06-01;-0.0331360946745562
"SwissReN";2005;2005-06-01;0.193865030674847
"SwissReN";2006;2006-06-01;0.0801644398766701
"SwissReN";2007;2007-06-01;-0.23977164605138
"SwissReN";2008;2008-06-01;-0.339799749687109
"SwissReN";2009;2009-06-01;-0.028436018957346
"SwissReN";2010;2010-06-01;0.035
"SwissReN";2011;2011-06-01;-0.029673590504451
"SwissReN";2012;2012-06-01;0.376146788990826
"SwissReN";2013;2013-06-01;0.200740740740741
"SwissReN";2014;2014-06-01;0.0351634793337447
"SwissReN";2015;2015-06-01;0.144815256257449
"SwisscomReg";2003;2003-06-01;0.037852805934507
"SwisscomReg";2004;2004-06-01;0.0961251315692851
"SwisscomReg";2005;2005-06-01;-0.0745299910474485
"SwisscomReg";2006;2006-06-01;0.126964933494559
"SwisscomReg";2007;2007-06-01;-0.0515021459227468
"SwisscomReg";2008;2008-06-01;-0.214932126696833
"SwisscomReg";2009;2009-06-01;0.148703170028818
"SwisscomReg";2010;2010-06-01;0.0379874213836479
"SwisscomReg";2011;2011-06-01;-0.130540082344393
"SwisscomReg";2012;2012-06-01;0.108635097493036
"SwisscomReg";2013;2013-06-01;0.174623115577889
"SwisscomReg";2014;2014-06-01;0.118716577540107
"SwisscomReg";2015;2015-06-01;-0.0401529636711281
"SyngentaN";2003;2003-06-01;0.00964589414900357
"SyngentaN";2004;2004-06-01;0.456693903205531
"SyngentaN";2005;2005-06-01;0.367797337913267
"SyngentaN";2006;2006-06-01;0.437217478653943
"SyngentaN";2007;2007-06-01;0.248252664686353
"SyngentaN";2008;2008-06-01;-0.264041994750656
"SyngentaN";2009;2009-06-01;0.373276271992392
"SyngentaN";2010;2010-06-01;-0.0470588235294118
"SyngentaN";2011;2011-06-01;0.0144927536231884
"SyngentaN";2012;2012-06-01;0.356071428571429
"SyngentaN";2013;2013-06-01;-0.0632077956281275
"SyngentaN";2014;2014-06-01;-0.0863086870958673
"SyngentaN";2015;2015-06-01;0.185230769230769
"TheSwatchGrp";2003;2003-06-01;0.26271186440678
"TheSwatchGrp";2004;2004-06-01;0.135570469798658
"TheSwatchGrp";2005;2005-06-01;0.168452380952381
"TheSwatchGrp";2006;2006-06-01;0.390728476821192
"TheSwatchGrp";2007;2007-06-01;0.237179487179487
"TheSwatchGrp";2008;2008-06-01;-0.546706143597335
"TheSwatchGrp";2009;2009-06-01;0.750489875898106
"TheSwatchGrp";2010;2010-06-01;0.592649310872894
"TheSwatchGrp";2011;2011-06-01;-0.140456182472989
"TheSwatchGrp";2012;2012-06-01;0.327374301675978
"TheSwatchGrp";2013;2013-06-01;0.22790404040404
"TheSwatchGrp";2014;2014-06-01;-0.243016281062554
"TheSwatchGrp";2015;2015-06-01;-0.237038714059316
"USBGroupN";2003;2003-06-01;0.220631304913765
"USBGroupN";2004;2004-06-01;0.141029058917622
"USBGroupN";2005;2005-06-01;0.31981981981982
"USBGroupN";2006;2006-06-01;0.199568888090533
"USBGroupN";2007;2007-06-01;-0.315513626834382
"USBGroupN";2008;2008-06-01;-0.660905709910304
"USBGroupN";2009;2009-06-01;0.0696774193548386
"USBGroupN";2010;2010-06-01;-0.0279156327543425
"USBGroupN";2011;2011-06-01;-0.26537216828479
"USBGroupN";2012;2012-06-01;0.317180616740088
"USBGroupN";2013;2013-06-01;0.121739130434783
"USBGroupN";2014;2014-06-01;0.0232558139534884
"USBGroupN";2015;2015-06-01;0.121794871794872
"ZurichInsurGrpN";2003;2003-06-01;0.292138199805141
"ZurichInsurGrpN";2004;2004-06-01;0.0820718055797228
"ZurichInsurGrpN";2005;2005-06-01;0.513830361966505
"ZurichInsurGrpN";2006;2006-06-01;0.18839441847186
"ZurichInsurGrpN";2007;2007-06-01;-0.00900900900900901
"ZurichInsurGrpN";2008;2008-06-01;-0.283939393939394
"ZurichInsurGrpN";2009;2009-06-01;-0.022852306390182
"ZurichInsurGrpN";2010;2010-06-01;0.0747051114023591
"ZurichInsurGrpN";2011;2011-06-01;-0.116707616707617
"ZurichInsurGrpN";2012;2012-06-01;0.144181733889662
"ZurichInsurGrpN";2013;2013-06-01;0.0397082658022691
"ZurichInsurGrpN";2014;2014-06-01;0.214341387373344
"ZurichInsurGrpN";2015;2015-06-01;-0.189666238767651
