"firm","year","date","ROIyearly","ROIyearly2","uniparkorder","i.uniparkorder"
"GivaudanN",2009,2009-06-01,0.0248577270823581,0.0248577270823581,6,6
"GivaudanN",2010,2010-06-01,0.240875912408759,0.240875912408759,6,6
"GivaudanN",2011,2011-06-01,-0.10871694417238,-0.10871694417238,6,6
"GivaudanN",2012,2012-06-01,0.0659340659340659,0.0659340659340659,6,6
"GivaudanN",2013,2013-06-01,0.311340206185567,0.311340206185567,6,6
"GivaudanN",2014,2014-06-01,0.415880503144654,0.415880503144654,6,6
"GivaudanN",2015,2015-06-01,-0.00666296501943365,-0.00666296501943365,6,6
"LafargeHolcimN",2003,2003-06-01,0.103212576896787,0.103212576896787,7,7
"LafargeHolcimN",2004,2004-06-01,0.246385790995456,0.246385790995456,7,7
"LafargeHolcimN",2005,2005-06-01,0.313919726729291,0.313919726729291,7,7
"LafargeHolcimN",2006,2006-06-01,0.282984531392175,0.282984531392175,7,7
"LafargeHolcimN",2007,2007-06-01,0.0767983789260385,0.0767983789260385,7,7
"LafargeHolcimN",2008,2008-06-01,-0.484004516371848,-0.484004516371848,7,7
"LafargeHolcimN",2009,2009-06-01,0.415390226112327,0.415390226112327,7,7
"LafargeHolcimN",2010,2010-06-01,-0.107473588104865,-0.107473588104865,7,7
"LafargeHolcimN",2011,2011-06-01,-0.276877761413844,-0.276877761413844,7,7
"LafargeHolcimN",2012,2012-06-01,0.318940936863544,0.318940936863544,7,7
"LafargeHolcimN",2013,2013-06-01,-0.0220815318097592,-0.0220815318097592,7,7
"LafargeHolcimN",2014,2014-06-01,0.063950734249171,0.063950734249171,7,7
"LafargeHolcimN",2015,2015-06-01,-0.27693677649154,-0.27693677649154,7,7
"NestleN",2003,2003-06-01,0.0298507462686568,0.0298507462686568,8,8
"NestleN",2004,2004-06-01,-0.035426731078905,-0.035426731078905,8,8
"NestleN",2005,2005-06-01,0.313856427378965,0.313856427378965,8,8
"NestleN",2006,2006-06-01,0.110546378653113,0.110546378653113,8,8
"NestleN",2007,2007-06-01,0.185354691075515,0.185354691075515,8,8
"NestleN",2008,2008-06-01,-0.172200772200772,-0.172200772200772,8,8
"NestleN",2009,2009-06-01,0.187033582089552,0.187033582089552,8,8
"NestleN",2010,2010-06-01,0.0997008973080758,0.0997008973080758,8,8
"NestleN",2011,2011-06-01,-0.0172570390554041,-0.0172570390554041,8,8
"NestleN",2012,2012-06-01,0.11090573012939,0.11090573012939,8,8
"NestleN",2013,2013-06-01,0.0815307820299501,0.0815307820299501,8,8
"NestleN",2014,2014-06-01,0.117692307692308,0.117692307692308,8,8
"NestleN",2015,2015-06-01,0.0144528561596696,0.0144528561596696,8,8
"NovartisN",2003,2003-06-01,0.0800762631077215,0.0800762631077215,9,9
"NovartisN",2004,2004-06-01,0.0114739629302736,0.0114739629302736,9,9
